gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
ARHGEF19-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								2.48538				
ARHGEF19-2	H3255	E07_vs_Veh	upregulated	0.0003	0.00348921									0.840566			
ARHGEF25	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.648762			
ARHGEF37	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.512627				
ARL17A-2	H1975	E07_vs_Veh	downregulated	0.00245	0.0419103						-0.948667						
ARMC10-2	H3255	C36_vs_Veh	upregulated	0.00045	0.028597							0.790333					
ARMC10-2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.952206			
ARPC1AP2	H3255	E07_vs_Veh	downregulated	0.0055	0.0366381									-0.616085			
ARRDC4	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.619862											
ARRDC4	A549	E07_vs_Veh	upregulated	0.0002	0.0146587			0.5842930000000001									
